,_id,a_nick,a_score,away,h_nick,h_score,home,playoff,season,week_e,week_s
629,5ff7dac2c8ee41edffd617e4,Fonti,103.9,MR. TWO TIME! TWO TIME!,Brando,76.48,Rise Up?,0,2019,10,10
630,5ff7dac2c8ee41edffd617cc,Mildred,105.46,Mildred's Redskins,Brad,80.22,SimsCity17: Top OfTheTannehill,0,2019,7,7
631,5ff7dac2c8ee41edffd617d6,Fonti,101.16,MR. TWO TIME! TWO TIME!,Jake,62.38,Dalvin Cook's Shoulder,0,2019,8,8
632,5ff7dac2c8ee41edffd617e7,Samik,80.44,Brady's Balls Brigade,Jake,73.02,Dalvin Cook's Shoulder,0,2019,11,11
633,5ff7dac2c8ee41edffd617d9,Tommy,88.76,The Horsegasms,Tarpey,100.82,Roll Safe,0,2019,9,9
634,5ff7dac2c8ee41edffd617d7,Tarpey,102.98,Roll Safe,Charles,68.54,Fear Boners,0,2019,8,8
635,5ff7dac2c8ee41edffd617e0,Samik,90.16,Brady's Balls Brigade,Charles,52.32,Fear Boners,0,2019,10,10
636,5ff7dac2c8ee41edffd617e6,Tarpey,58.04,Roll Safe,Kindy,51.4,Brady's Balls: Truly Inflated,0,2019,11,11
637,5ff7dac2c8ee41edffd617d3,Mildred,78.3,Mildred's Redskins,mballen,122.02,Greg Hardy Breakfast,0,2019,8,8
638,5ff7dac2c8ee41edffd617df,Jake,75.52,Dalvin Cook's Shoulder,Conti,85.28,VA Beach Warriors,0,2019,10,10
639,5ff7dac2c8ee41edffd617de,Kindy,89.14,Brady's Balls: Truly Inflated,Mildred,79.14,Mildred's Redskins,0,2019,9,9
640,5ff7dac2c8ee41edffd617da,Frank,61.06,DR. SQUANCH,Jake,98.6,Dalvin Cook's Shoulder,0,2019,9,9
641,5ff7dac2c8ee41edffd617d1,Brando,90.2,Rise Up?,Tommy,54.28,The Horsegasms,0,2019,8,8
642,5ff7dac2c8ee41edffd617ce,Tarpey,105.02,Roll Safe,Fonti,64.84,MR. TWO TIME! TWO TIME!,0,2019,7,7
643,5ff7dac2c8ee41edffd617e2,Brad,81.32,SimsCity17: Top OfTheTannehill,Mildred,113.72,Mildred's Redskins,0,2019,10,10
644,5ff7dac2c8ee41edffd617d0,Samik,54.86,Brady's Balls Brigade,Conti,115.42,VA Beach Warriors,0,2019,7,7
645,5ff7dac2c8ee41edffd617e8,Fonti,59.9,MR. TWO TIME! TWO TIME!,Sendzik,102.08,Sa lt,0,2019,11,11
646,5ff7dac2c8ee41edffd617dc,Fonti,74.1,MR. TWO TIME! TWO TIME!,Brad,89.8,SimsCity17: Top OfTheTannehill,0,2019,9,9
647,5ff7dac2c8ee41edffd617db,Charles,56.46,Fear Boners,mballen,66.96,Greg Hardy Breakfast,0,2019,9,9
648,5ff7dac2c8ee41edffd617d8,Conti,102.34,VA Beach Warriors,Sendzik,118.8,Sa lt,0,2019,9,9
649,5ff7dac2c8ee41edffd617d4,Brad,84.42,SimsCity17: Top OfTheTannehill,Frank,146.96,DR. SQUANCH,0,2019,8,8
650,5ff7dac2c8ee41edffd617cf,Kindy,74.66,Brady's Balls: Truly Inflated,mballen,84.54,Greg Hardy Breakfast,0,2019,7,7
651,5ff7dac2c8ee41edffd617e9,Conti,92.36,VA Beach Warriors,Frank,87.74,DR. SQUANCH,0,2019,11,11
652,5ff7dac2c8ee41edffd617d5,Kindy,115.68,Brady's Balls: Truly Inflated,Conti,137.56,VA Beach Warriors,0,2019,8,8
653,5ff7dac2c8ee41edffd617e1,mballen,66.48,Greg Hardy Breakfast,Tommy,111.02,The Horsegasms,0,2019,10,10
654,5ff7dac2c8ee41edffd617dd,Samik,64.8,Brady's Balls Brigade,Brando,120.9,Rise Up?,0,2019,9,9
655,5ff7dac2c8ee41edffd617cd,Charles,96.54,Fear Boners,Tommy,91.94,The Horsegasms,0,2019,7,7
656,5ff7dac2c8ee41edffd617d2,Sendzik,93.86,Sa lt,Samik,79.96,Brady's Balls Brigade,0,2019,8,8
657,5ff7dac2c8ee41edffd617e3,Tarpey,82.98,Roll Safe,Frank,95.68,DR. SQUANCH,0,2019,10,10
658,5ff7dac2c8ee41edffd617f0,Conti,112.02,VA Beach Warriors,Samik,83.7,Brady's Balls Brigade,0,2019,12,12
659,5ff7dac2c8ee41edffd617f1,Sendzik,93.3,Sa lt,mballen,92.84,Greg Hardy Breakfast,0,2019,12,12
660,5ff7dac2c8ee41edffd617ef,Kindy,80.68,Brady's Balls: Truly Inflated,Jake,146.02,Dalvin Cook's Shoulder,0,2019,12,12
661,5ff7dac2c8ee41edffd617ed,Tommy,88.3,The Horsegasms,Brad,110.06,SimsCity17: Top OfTheTannehill,0,2019,12,12
