,_id,game_title,sub_title,game_system,genre,now_playing,game_status,game_hours,game_minutes,playtime_calc,add_date,start_date,beat_date,complete_date,game_notes
258,G0259,Daytona USA,,XBLA,Racing,N,Completed,,,,,,,,
259,G0260,Happy Wars,,XBLA,Action,N,Beaten,,,,,,,,
260,G0261,Ms. PAC-MAN,,XBLA,Maze,N,Completed,,,,,,,,
261,G0262,PAC-MAN Championship Edition DX+,,XBLA,Maze,N,Completed,,,,,,,,
262,G0263,Sonic Adventure DX: Director's Cut,,XBLA,Platformer,N,Completed,30.0,56.0,Actual,,,,,
263,G0264,Pokemon GO,,Droid,Augmented reality,N,Infinite,,,,,,,,
264,G0265,Super Mario Galaxy 2,,Wii,Platformer,N,Completed,37.0,30.0,Actual,2010-05-26 16:00:00,2010-05-26 16:00:00,2010-06-05 16:00:00,2013-05-26 16:00:00,
265,G0266,New Super Mario Bros. Wii,,Wii,Platformer,N,Beaten,2.0,28.0,Actual,2010-06-28 16:00:00,2010-06-28 16:00:00,2010-06-28 16:00:00,,
266,G0267,StarCraft II: Heart of the Swarm,,BNet,Real-time strategy,N,Beaten,,,,,,,,Waiting for the Void.
267,G0268,StarCraft II: Legacy of the Void,,BNet,Real-time strategy,N,Not Started,,,,,,,,Haven't started.
268,G0269,StarCraft II: Wings of Liberty,,BNet,Real-time strategy,N,Beaten,,,,,,,,ggwp. Definitely back into StarCraft. ^_^
269,G0270,Metroid Prime 3: Corruption,,Wii,Metroidvania,N,Beaten,24.0,5.0,Actual,2010-12-25 16:00:00,2010-12-25 16:00:00,2013-04-12 16:00:00,,
270,G0271,Balloon Fight,,VCH,Platformer,N,Infinite,,,,,,,,
271,G0272,Donkey Kong Jr.,,VCH,Platformer,N,Infinite,,,,,,,,
272,G0273,Find Mii,,3DS,RPG,N,Completed,,,,2013-07-10 16:00:00,2013-07-10 16:00:00,2013-07-10 16:00:00,2013-07-10 16:00:00,Got all the helmets!
273,G0274,Find Mii 2,,3DS,RPG,N,Completed,,,,2013-07-10 16:00:00,2013-07-10 16:00:00,2013-07-10 16:00:00,2013-11-08 16:00:00,"All hats! :D StreetPass games, yay! This''ll always be a classic."
274,G0275,Fire Emblem: The Sacred Stones,,VCH,Turn-based tactics,N,Beaten,24.0,10.0,Actual,,,,,
275,G0276,F-Zero: Maximum Velocity,,VCH,Racing,N,Beaten,,,,,,,,
276,G0277,Ice Climber,,VCH,Platformer,N,Infinite,,,,,,,,
277,G0278,Kirby & The Amazing Mirror,,VCH,Platformer,N,Completed,6.0,20.0,Actual,,,,,
278,G0279,Mario & Luigi: Bowser's Inside Story,,3DS,RPG,N,Not Started,,,,2020-11-24 12:00:00,,,,
279,G0280,Mario and Donkey Kong: Minis on the Move,,3DS,Puzzle,N,Beaten,,,,,,,,30 stars.
280,G0281,Mario Golf,,VCH,Sports,N,Completed,5.0,46.0,Actual,,,,,
281,G0282,Mario Kart: Super Circuit,,VCH,Racing,N,Beaten,1.0,47.0,Actual,2012-11-25 16:00:00,2012-11-25 16:00:00,2012-11-25 16:00:00,,
282,G0283,Mario vs. Donkey Kong,,VCH,Puzzle,N,Beaten,4.0,20.0,Actual,,,,,
283,G0284,Mega Man,,VCH,Platformer,N,Completed,2.0,23.0,Actual,,,,,
284,G0285,Metroid,,VCH,Metroidvania,N,Beaten,5.0,8.0,Actual,2013-03-12 16:00:00,2013-03-12 16:00:00,2013-03-15 16:00:00,,
285,G0286,Metroid Fusion,,VCH,Metroidvania,N,Beaten,10.0,47.0,Actual,2013-01-29 16:00:00,2013-01-29 16:00:00,2013-02-06 16:00:00,,
286,G0287,Mii Force,,3DS,Shoot 'em up,N,Completed,,,,2013-11-01 16:00:00,2013-11-01 16:00:00,2013-11-06 16:00:00,2014-01-27 16:00:00,Hard Arcade mode. Shmup with streetpasses. PERFECT.
287,G0288,Monster Manor,,3DS,Puzzle,N,Completed,,,,2013-11-01 16:00:00,2013-11-01 16:00:00,2013-12-05 16:00:00,2014-03-17 16:00:00,Thanks BB!
288,G0289,NES Open Tournament Golf,,VCH,Sports,N,Beaten,,,,,,,,
289,G0290,Pokemon Omega Ruby,,3DS,RPG,N,Beaten,26.0,57.0,Actual,2014-12-02 16:00:00,2014-12-02 16:00:00,2015-04-04 16:00:00,,Battle Resort! Champion in 17:00!
290,G0291,Puzzle Swap,,3DS,Puzzle,N,Completed,188.0,,Actual,2013-07-10 16:00:00,2013-07-10 16:00:00,2013-07-10 16:00:00,2013-11-13 16:00:00,929/929.
291,G0292,Super Mario Bros.,,VCH,Platformer,N,Completed,,,,2013-02-06 16:00:00,2013-02-06 16:00:00,2013-02-06 16:00:00,2013-02-06 16:00:00,
292,G0293,The Legend of Zelda,,VCH,Action-adventure,N,Beaten,7.0,11.0,Actual,,,,,
293,G0294,The Legend of Zelda: Four Swords 25th Anniversary Edition,,3DS,Action-adventure,N,Beaten,18.0,51.0,Actual,,,,,"Silver keys + 5 medals. You don''t know how many medals of courage I stole from people as a 5th grader. XD So when I realized that this was a FREE DOWNLOAD, I freaked out. One of the best multiplayer games ever."
294,G0295,The Legend of Zelda: The Minish Cap,,VCH,Action-adventure,N,Beaten,13.0,18.0,Actual,,,,,
295,G0296,The Legend of Zelda: Tri-Force Heroes,,3DS,Action-adventure,N,Beaten,16.0,23.0,Actual,2015-11-18 16:00:00,2015-11-18 16:00:00,2015-11-18 16:00:00,,Outfits.
296,G0297,Wario Land 4,,VCH,Platformer,N,Beaten,8.0,28.0,Actual,2012-12-07 16:00:00,2012-12-07 16:00:00,,,
297,G0298,"Wario Ware, Inc. Mega Microgame$!",,VCH,Rhythm,N,Beaten,,,,,,,,
298,G0299,Warrior's Way,,3DS,Simulation,N,Completed,,,,2013-11-01 16:00:00,2013-11-01 16:00:00,2013-11-29 16:00:00,2014-09-12 16:00:00,IT'S OVER.
299,G0300,Wrecking Crew,,VCH,Platformer,N,Infinite,,,,,,,,
300,G0301,Yoshi,,VCH,Puzzle,N,Infinite,,,,,,,,
301,G0302,Yoshi's Island: Super Mario Advance 3,,VCH,Platformer,N,Beaten,7.0,47.0,Actual,2012-12-21 16:00:00,2012-12-21 16:00:00,2012-12-21 16:00:00,,
302,G0303,Zelda II: The Adventure of Link,,VCH,Action-adventure,N,Beaten,7.0,54.0,Actual,,,,,
303,G0304,Asura's Wrath,,PS3,Beat 'em up,N,Beaten,,,,,,,,
304,G0305,Twisted Metal,,PS3,Vehicular combat,N,Beaten,,,,,,,,
305,G0306,Hexic HD,,XBLA,Puzzle,N,Beaten,,,,2012-11-28 16:00:00,,,,
306,G0307,Assassin's Creed III,,360,Stealth,N,Beaten,11.0,18.0,Actual,2012-12-11 16:00:00,2012-12-26 16:00:00,2013-02-14 16:00:00,,"I''ve never played a game like this before, and it was very, very sweet."
307,G0308,Donkey Kong Country,,SNES,Platformer,N,Beaten,,,,2012-12-20 16:00:00,,,,
308,G0309,Kirby's Avalanche,,SNES,Puzzle,N,Beaten,,,,2012-12-20 16:00:00,,,,
309,G0310,Super Mario Advance: Super Mario Bros. 2,,GBA,Platformer,N,Completed,,,,2012-12-20 16:00:00,,,,
310,G0311,Super Mario Bros. 2,,NES,Platformer,N,Completed,,,,2012-12-20 16:00:00,,,,
311,G0312,Super Mario Bros. 3,,NES,Platformer,N,Completed,,,,2012-12-20 16:00:00,,,,
312,G0313,Super Mario World 2: Yoshi's Island,,SNES,Platformer,N,Completed,,,,2012-12-20 16:00:00,,,,
313,G0314,Paper Mario: Sticker Star,,3DS,RPG,N,Completed,29.0,4.0,Actual,2012-12-25 16:00:00,2012-12-25 16:00:00,2013-01-01 16:00:00,2013-01-03 16:00:00,8/8 super flags in 29:04! Absolute joy to play. Paper Mario strikes again!
314,G0315,Forza Motorsport 3,,360,Racing,N,Beaten,,,,2012-12-26 16:00:00,2013-01-16 16:00:00,2013-01-16 16:00:00,,Won R1 championship. Very solid racing game. Nearly perfect...just needs more track variety. Got very stale after season 3.
315,G0316,Half-Life 2: Lost Coast,,Steam,FPS,N,Completed,,,,2013-01-29 16:00:00,2013-02-24 16:00:00,2013-02-24 16:00:00,2013-02-24 16:00:00,
316,G0317,Taptiles,,WinStr,Puzzle,N,Beaten,,,,2013-02-05 16:00:00,2013-02-05 16:00:00,2013-02-05 16:00:00,,
317,G0318,Zombies.,,PC,Action,N,Infinite,,,,2013-02-08 16:00:00,,,,
318,G0319,Superstar V8 Next Challenge,,PC,Racing,N,Infinite,,,,2013-02-14 16:00:00,,,,
319,G0320,Mega Man 10,,XBLA,Platformer,N,Beaten,,,,2013-02-17 16:00:00,2013-02-17 16:00:00,2013-02-17 16:00:00,,
