test,SeasonTeamID,AdjD,AdjEM,AdjO,AdjT,Conf,Conference,GlobalTeamID,Key,L,Luck,NCAdjEM,Name,OppAdjEM,OppD,OppO,Rk,School,Season,ShortDisplayName,Stadium,TeamLogoUrl,W
87,600000882021,107.2,-16.65,90.6,69.9,BSth,Big South,60000088,CHSOU,0,-0.049,1.43,Buccaneers,-3.34,104.0,100.6,337,Charleston Southern,2021,CHSOU,"{'StadiumID': 202, 'Active': True, 'Name': 'CSU Field House', 'Address': None, 'City': 'Charleston', 'State': 'SC', 'Zip': None, 'Country': None, 'Capacity': 881}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/88.png,0
88,600000902021,106.5,-2.84,103.6,64.2,BSth,Big South,60000090,CAMP,0,0.064,-2.23,Fighting Camels,-5.3,104.1,98.8,208,Campbell,2021,CAMP,"{'StadiumID': 42, 'Active': True, 'Name': 'Pope Convocation Center', 'Address': None, 'City': 'Buies Creek', 'State': 'NC', 'Zip': None, 'Country': None, 'Capacity': 3095}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/90.png,0
89,600000892021,105.0,-13.63,91.4,66.0,BSth,Big South,60000089,PRESB,0,-0.057,-10.91,Blue Hose,-6.66,105.5,98.8,324,Presbyterian,2021,PRESB,"{'StadiumID': 301, 'Active': True, 'Name': 'Ross E. Templeton P.E. Center', 'Address': None, 'City': 'Clinton', 'State': 'SC', 'Zip': None, 'Country': None, 'Capacity': 2300}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/89.png,0
90,600000912021,93.9,30.33,124.2,70.0,B10,Big Ten,60000091,IOWA,0,-0.028,-5.43,Hawkeyes,16.91,93.4,110.3,5,Iowa,2021,IOWA,"{'StadiumID': 99, 'Active': True, 'Name': 'Carver-Hawkeye Arena', 'Address': None, 'City': 'Iowa City', 'State': 'IA', 'Zip': None, 'Country': None, 'Capacity': 15000}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/91.png,0
91,600000932021,92.8,17.24,110.0,66.2,B10,Big Ten,60000093,IND,0,-0.053,8.32,Hoosiers,18.76,92.8,111.5,46,Indiana,2021,IU,"{'StadiumID': 130, 'Active': True, 'Name': 'Assembly Hall (Indiana)', 'Address': None, 'City': 'Bloomington', 'State': 'IN', 'Zip': None, 'Country': None, 'Capacity': 17222}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/93.png,0
92,600000922021,91.5,20.15,111.6,65.3,B10,Big Ten,60000092,MARY,0,-0.035,-0.8,Terrapins,17.06,93.1,110.1,31,Maryland,2021,MARY,"{'StadiumID': 41, 'Active': True, 'Name': 'XFINITY Center', 'Address': None, 'City': 'College Park', 'State': 'MD', 'Zip': None, 'Country': None, 'Capacity': 17950}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/92.png,0
93,600000962021,89.1,24.08,113.2,64.9,B10,Big Ten,60000096,WISC,0,-0.049,1.22,Badgers,18.06,93.7,111.7,10,Wisconsin,2021,WISC,"{'StadiumID': 61, 'Active': True, 'Name': 'Kohl Center', 'Address': None, 'City': 'Madison', 'State': 'WI', 'Zip': None, 'Country': None, 'Capacity': 17142}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/96.png,0
94,600000972021,92.2,15.44,107.7,68.6,B10,Big Ten,60000097,MST,0,0.106,-0.53,Spartans,18.16,94.3,112.5,56,Michigan State,2021,MSU,"{'StadiumID': 175, 'Active': True, 'Name': 'Breslin Center', 'Address': None, 'City': 'East Lansing', 'State': 'MI', 'Zip': None, 'Country': None, 'Capacity': 14759}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/97.png,0
95,600000992021,92.8,10.09,102.9,72.1,B10,Big Ten,60000099,NEBR,0,-0.128,5.08,Cornhuskers,18.84,93.6,112.4,95,Nebraska,2021,NEB,"{'StadiumID': 60, 'Active': True, 'Name': 'Pinnacle Bank Arena', 'Address': None, 'City': 'Lincoln', 'State': 'NE', 'Zip': None, 'Country': None, 'Capacity': 15500}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/99.png,0
96,600000952021,87.9,32.22,120.1,66.8,B10,Big Ten,60000095,MICH,0,0.026,2.99,Wolverines,16.87,94.5,111.3,2,Michigan,2021,MICH,"{'StadiumID': 12, 'Active': True, 'Name': 'Crisler Center', 'Address': None, 'City': 'Ann Arbor', 'State': 'MI', 'Zip': None, 'Country': None, 'Capacity': 12707}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/95.png,0
