,StatID,Assists,BlockedShots,DefensiveRebounds,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowsPercentage,Games,Minutes,Name,OffensiveRebounds,PersonalFouls,PlayerID,Points,Position,Rebounds,Season,SeasonType,Steals,Team,TeamID,ThreePointersAttempted,ThreePointersMade,ThreePointersPercentage,Turnovers,TwoPointersAttempted,TwoPointersMade,TwoPointersPercentage,ft_chance,three_chance,two_attempt_chance,two_chance
58,555513,17,77,90,502.3,523.0,502.3,90,61,67.8,60,37,61.7,29,604,Emmanuel Olojakpoke,54,69,60001153,159,F,144,2020,1,9,UTAHV,348,0,0,0.0,27,90,61,67.8,0.6166666746,0.0,1.0,0.6777777672
59,553270,14,7,47,285.4,307.5,285.4,118,43,36.4,33,26,78.8,33,596,Austin Vereen,35,68,60001033,134,G,82,2020,1,16,PACFC,339,59,22,37.3,14,59,21,35.6,0.7878788114,0.3728813529,0.5,0.3559322059
60,557530,123,3,96,781.7,832.25,781.7,376,175,46.5,104,84,80.8,30,976,Deondre Burns,25,58,60001107,457,G,121,2020,1,26,ORAL,320,80,23,28.8,63,296,152,51.4,0.8076922894,0.287499994,0.7872340679,0.5135135055
61,554876,26,6,97,420.8,470.75,420.8,200,82,41.0,62,46,74.2,31,765,Daniel Utomi,22,48,60001155,253,G,119,2020,1,8,USC,246,127,43,33.9,42,73,39,53.4,0.7419354916,0.3385826647,0.3650000095,0.5342465639
62,558675,21,44,189,792.5,857.25,792.5,211,137,64.9,117,52,44.4,31,840,Boubacar Toure,96,87,60001135,326,C,285,2020,1,35,EMICH,187,0,0,0.0,65,211,137,64.9,0.4444444478,0.0,1.0,0.6492890716
63,573746,1,0,2,3.9,4.0,3.9,0,0,0.0,0,0,0.0,6,8,Marquelle McIntyre,0,1,60001151,0,G,2,2020,1,0,AKRON,177,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
64,594622,0,1,3,6.6,7.25,6.6,7,1,14.3,0,0,0.0,1,10,Javier Roper,0,0,60001071,2,G,3,2020,1,0,NNME,861,3,0,0.0,1,4,1,25.0,0.0,0.0,0.571428597,0.25
65,554610,84,3,38,347.4,381.25,347.4,156,56,35.9,41,28,68.3,31,675,Lamarr Kimble,9,43,60001192,156,G,47,2020,1,25,LOU,24,58,16,27.6,47,98,40,40.8,0.6829268336,0.2758620679,0.6282051206,0.4081632793
66,558429,28,15,114,565.0,610.5,565.0,239,104,43.5,73,57,78.1,31,743,Akwasi Yeboah,36,66,60001170,303,F,150,2020,1,24,RUTGER,103,107,38,35.5,38,132,66,50.0,0.7808219194,0.3551401794,0.552301228,0.5
67,558418,87,5,118,803.1,889.5,803.1,361,156,43.2,63,43,68.3,34,1091,Josh Williams,30,70,60001156,461,G,148,2020,1,38,ROBMS,230,254,106,41.7,52,107,50,46.7,0.6825397015,0.4173228443,0.2963988781,0.467289716
