Season,Rk,Team,Conf,W,L,AdjEM,AdjO,AdjD,AdjT,Luck,OppAdjEM,OppO,OppD,NCAdjEM
2021,190,Army,Pat,0,0,-1.27,99.5,100.8,68.4,0.048,-1.35,103,104.3,2.99
2021,191,Valparaiso,MVC,0,0,-1.63,97.3,98.9,67.3,-0.028,5.8,105.5,99.7,5.42
2021,192,Nicholls St.,Slnd,0,0,-1.68,101.6,103.3,71.9,0.083,-8.71,97.9,106.6,5.92
2021,193,Southern Illinois,MVC,0,0,-1.86,100.6,102.4,66.5,0.075,4,104.1,100.1,-5.34
2021,194,La Salle,A10,0,0,-2.06,102.8,104.8,68.9,-0.012,6.97,104.7,97.7,5.88
2021,195,Hawaii,BW,0,0,-2.25,102.4,104.6,67.3,-0.015,-2.07,100.6,102.7,-99
2021,196,Northern Kentucky,Horz,0,0,-2.31,104.8,107.1,65.1,0.056,-2.84,102.2,105,3.81
2021,197,Saint Joseph's,A10,0,0,-2.33,102.1,104.4,72.4,0.027,10.39,107.7,97.3,15.06
2021,198,Hartford,AE,0,0,-2.37,98.8,101.1,66.6,0.077,-6.53,98.3,104.8,-1.11
2021,199,Illinois St.,MVC,0,0,-2.45,99.3,101.7,69.4,-0.112,4.65,105.3,100.6,1.64
2021,200,Elon,CAA,0,0,-2.68,97.5,100.2,66.8,0.014,-2.04,102,104.1,-4.89
2021,201,Montana,BSky,0,0,-2.69,99,101.6,66.1,-0.027,-0.85,102.9,103.7,15.67
2021,202,Louisiana,SB,0,0,-2.92,100.9,103.8,71.3,0.096,-4.62,100,104.7,-2.29
2021,203,Evansville,MVC,0,0,-3.01,106.4,109.4,62.4,0.011,3.26,103.2,100,-5.17
2021,204,San Diego,WCC,0,0,-3.07,97.6,100.7,70.6,-0.025,8.43,107,98.5,6.64
2021,205,Utah Valley,WAC,0,0,-3.15,101,104.2,70.5,0.005,-1.67,102,103.7,10.4
2021,206,Milwaukee,Horz,0,0,-3.24,102.8,106.1,70.2,-0.01,-2.22,101.9,104.2,-0.39
2021,207,Loyola MD,Pat,0,0,-3.24,97.1,100.4,69.2,-0.201,-5.47,101.5,106.9,-99
2021,208,Penn,Ivy,0,0,-3.27,101.2,104.5,69.4,0,-99,0,200,-99
2021,209,Appalachian St.,SB,0,0,-3.31,100.1,103.5,65.8,0.06,-3.37,100.2,103.6,5.28
2021,210,Cornell,Ivy,0,0,-3.33,102.4,105.7,67.1,0,-99,0,200,-99
2021,211,Oakland,Horz,0,0,-3.36,104.9,108.3,70,0.046,2.31,105.5,103.2,19.76
2021,212,Campbell,BSth,0,0,-3.37,103.6,107,64.3,0.064,-5.82,98.8,104.6,-2.56
2021,213,Wagner,NEC,0,0,-3.59,101.9,105.5,65.9,0.068,-8.29,98.1,106.4,19.43
2021,214,South Alabama,SB,0,0,-3.82,103.8,107.6,67,0.043,-3.7,99.2,102.9,-2.12
2021,215,Austin Peay,OVC,0,0,-3.91,104.6,108.5,67.2,-0.071,-6.06,98.3,104.4,-2.88
2021,216,Saint Peter's,MAAC,0,0,-3.93,90.7,94.6,67.8,0.009,-6.45,98.1,104.5,3.86
2021,217,The Citadel,SC,0,0,-3.95,104.6,108.6,74.6,0.064,1.85,104,102.1,-11.03
2021,218,UMKC,Sum,0,0,-4.03,96.2,100.2,63,-0.074,-0.69,103.7,104.4,10.95
2021,219,Mount St. Mary's,NEC,0,0,-4.12,96.1,100.2,62.3,0.006,-6.63,99.4,106,10.47
2021,220,UMass Lowell,AE,0,0,-4.32,101.6,106,69.3,0.059,-2.58,100.2,102.8,11.6
2021,221,George Washington,A10,0,0,-4.54,102.6,107.1,68.2,-0.094,0.35,99.8,99.4,-6.9
2021,222,UC Davis,BW,0,0,-4.56,99.1,103.6,69.9,0.06,-4.48,99.8,104.3,-2.08
2021,223,Delaware,CAA,0,0,-4.64,97.8,102.5,66.9,-0.069,-4.61,101.7,106.3,-3.08
2021,224,Charleston,CAA,0,0,-4.8,103.1,107.9,63.9,-0.03,-2.44,101.4,103.9,1.93
2021,225,Monmouth,MAAC,0,0,-4.97,99.6,104.6,74.5,0.05,-6.88,96.7,103.6,-4.18
2021,226,Stony Brook,AE,0,0,-5.14,95.3,100.5,66.8,-0.09,-3.52,100.3,103.8,1.85
2021,227,Albany,AE,0,0,-5.37,98,103.4,70,-0.079,-4.89,98.9,103.8,-4.4
2021,228,Youngstown St.,Horz,0,0,-5.44,103.2,108.7,68,0.032,-4.05,102,106.1,-10.41
2021,229,Charlotte,CUSA,0,0,-5.48,97.9,103.3,63,-0.032,0.11,102.2,102,-4.96
2021,230,Cal Baptist,WAC,0,0,-5.53,104.9,110.4,70.9,-0.018,-6.73,98.6,105.4,-10.7
2021,231,Norfolk St.,MEAC,0,0,-5.62,99.9,105.5,67.6,0.034,-9.54,96.6,106.2,-1.38
2021,232,UNC Asheville,BSth,0,0,-5.8,101.4,107.2,68.6,-0.008,-6.01,99.2,105.2,-5.22
2021,233,Brown,Ivy,0,0,-5.83,96.2,102.1,70,0,-99,0,200,-99
2021,234,Western Carolina,SC,0,0,-5.85,100.5,106.4,70.9,0.031,1.27,104.2,102.9,-4.29
2021,235,Longwood,BSth,0,0,-5.85,98.7,104.5,65.4,-0.025,-5.18,99.9,105.1,1.46
2021,236,Montana St.,BSky,0,0,-5.87,100,105.9,68.5,0.036,-4.47,100.8,105.3,3.49
2021,237,Radford,BSth,0,0,-5.87,98.3,104.2,63.8,0.023,-5.16,99.9,105,7.33
2021,238,Seattle,WAC,0,0,-5.89,98.6,104.5,69.1,-0.064,-4.42,100.9,105.3,-4.49
2021,239,Little Rock,SB,0,0,-5.9,98.9,104.8,67.3,-0.04,-3.66,99.5,103.1,3.14
2021,240,UC San Diego,BW,0,0,-5.94,101.9,107.8,70.1,0.023,3.97,103.2,99.2,3.97
2021,241,Prairie View A&M,SWAC,0,0,-6.01,94.6,100.6,69.8,0.117,-16.52,92.1,108.6,5.54
2021,242,Lipscomb,ASun,0,0,-6.03,101.3,107.3,66.5,0.024,-4.81,99.8,104.6,2.21
2021,243,UNC Wilmington,CAA,0,0,-6.14,102.8,108.9,69.4,-0.122,-5.3,99.9,105.2,-3.11
2021,244,Stetson,ASun,0,0,-6.26,101.8,108.1,68.8,-0.014,-3.85,101,104.8,7.16
2021,245,Canisius,MAAC,0,0,-6.44,99.9,106.4,70.8,0.058,-6.2,95.7,102,-99
2021,246,Green Bay,Horz,0,0,-6.46,103.3,109.8,66.3,-0.042,-1.21,103.3,104.5,13.05
2021,247,Northern Colorado,BSky,0,0,-6.62,98.3,104.9,67.6,0.009,-5.24,99.4,104.6,12.78
